trainer_id	trainer_label	trainer_base	battle_index	role	battle_type	ai_flags	party_size	min_level	max_level	perfect_ivs	has_ev_spread	roster	ivs	evs	source	confidence
1	Hiker Sawyer	Hiker Sawyer	1	route	Singles	Check Bad Move,Try To Faint,Check Viability	1	40	40	FALSE	FALSE	Graveler-Alola:40:UNK:NONE:Hardy:Self-Destruct,Stealth Rock,Rock Blast,Discharge	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
2	Team Aqua Grunt Aqua Hideout	Team Aqua Grunt Aqua Hideout	1	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Sharpedo:65:UNK:NONE:Hardy:Crunch,Agility,Skull Bash,Taunt	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
3	Team Aqua Grunt Aqua Hideout2	Team Aqua Grunt Aqua Hideout	2	route	Singles	Check Bad Move	2	65	65	FALSE	FALSE	Crobat:65:UNK:NONE:Hardy:Haze,Venoshock,Air Slash,Quick Guard|Lanturn:65:UNK:NONE:Hardy:Hydro Pump,Ion Deluge,Parabolic Charge,Charge	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
4	Team Aqua Grunt Aqua Hideout3	Team Aqua Grunt Aqua Hideout	3	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Beartic:65:UNK:NONE:Hardy:Blizzard,Snowscape,Thrash,Ice Hammer	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
5	Team Aqua Grunt Aqua Hideout4	Team Aqua Grunt Aqua Hideout	4	route	Singles	Check Bad Move	1	65	65	FALSE	FALSE	Palossand:65:UNK:NONE:Hardy:Shadow Ball,Earth Power,Shore Up,Sandstorm	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
6	Team Aqua Grunt Seafloor Cavern	Team Aqua Grunt Seafloor Cavern	1	route	Singles	Check Bad Move	3	70	70	FALSE	FALSE	Mightyena:70:UNK:NONE:Hardy:Embargo,Yawn,Jaw Lock,Play Rough|Persian:70:UNK:NONE:Hardy:Assurance,Captivate,Night Slash,Feint|Persian-Alola:70:UNK:NONE:Hardy:Captivate,Night Slash,Feint,Dark Pulse	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
7	Aqua Admin Matt Seafloor Cavern	Aqua Admin Matt Seafloor Cavern	1	admin	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	5	80	80	TRUE	TRUE	Froslass:80:Stakeout:Wide Lens:Jolly:Triple Axel,Poltergeist,Wake-Up Slap,Ice Shard|Greninja:80:Battle Bond:Expert Belt:Timid:Dark Pulse,Surf,Ice Beam,Grass Knot|Dragonite:80:Multiscale:Heavy-Duty Boots:Jolly:Dragon Dance,Dual Wingbeat,Earthquake,Dragon Claw|Machamp:80:Guts:Machampite:Adamant:Mach Punch,Drain Punch,Thunder Punch,Fire Punch|Machamp-Mega:80:ORAORAORAORA:Machampite:Adamant:Mach Punch,Drain Punch,Thunder Punch,Fire Punch	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted
8	Team Aqua Grunt Seafloor Cavern3	Team Aqua Grunt Seafloor Cavern	3	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Crobat:70:UNK:NONE:Hardy:Haze,Venoshock,Air Slash,Quick Guard|Carracosta:70:UNK:NONE:Hardy:Rock Slide,Wave Crash,Rain Dance,Hydro Pump	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
9	Pkmn Breeder Gabrielle	Pkmn Breeder Gabrielle	1	route	Singles	Check Bad Move	2	64	64	FALSE	FALSE	Marowak:64:UNK:NONE:Hardy:Stomping Tantrum,Endeavor,Double-Edge,Retaliate|Marowak-Alola:64:UNK:NONE:Hardy:Stomping Tantrum,Endeavor,Flare Blitz,Retaliate	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
10	Lvl -2 Team Aqua Grunt Petalburg Woods	Lvl -2 Team Aqua Grunt Petalburg Woods	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	2	-2	-2	TRUE	FALSE	Poochyena:-2:Quick Feet:NONE:Adamant:Bite,Tackle|Carvanha:-2:Rough Skin:NONE:Adamant:Aqua Jet,Bite	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
11	Cooltrainer Marcel	Cooltrainer Marcel	1	route	Singles	Check Bad Move,Try To Faint,Check Viability	2	64	64	FALSE	FALSE	Cloyster:64:UNK:NONE:Hardy:Spike Cannon,Ice Shard,Spikes,Icicle Crash|Carracosta:64:UNK:NONE:Hardy:Rock Slide,Wave Crash,Rain Dance,Hydro Pump	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
12	Bird Keeper Alberto	Bird Keeper Alberto	1	route	Singles	Check Bad Move	2	58	58	FALSE	FALSE	Salamence:58:UNK:NONE:Hardy:Dragon Claw,Zen Headbutt,Scary Face,Flamethrower|Flygon:58:UNK:NONE:Hardy:Wing Attack,Hyper Beam,Dragon Rush,Sandsear Storm	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
13	Collector Ed	Collector Ed	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Meganium:56:UNK:NONE:Hardy:Sweet Scent,Light Screen,Body Slam,Safeguard|Porygon2:56:UNK:NONE:Hardy:Discharge,Lock-On,Tri Attack,Magic Coat	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
