species_const	species_name	checkpoint	level_cap	track	orientation_reason	base_atk	base_spa	base_spe	best_physical_bp	best_special_bp	moves_available	status_moves_available	abilities	natures	builds_generated	confidence
SPECIES_BULBASAUR	Bulbasaur	1	15	special	spa 65 >= 1.15*atk 49, bestS 65	49	65	45	40	65	7	2	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_CHLOROPHYLL	Modest,Timid,Calm	216	Derived
SPECIES_BULBASAUR	Bulbasaur	1	15	support	spa 65 >= 1.15*atk 49, bestS 65	49	65	45	40	65	7	2	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_CHLOROPHYLL	Bold,Calm,Impish	216	Derived
SPECIES_CHARMANDER	Charmander	1	15	special	spa 60 >= 1.15*atk 52, bestS 60	52	60	65	75	60	7	0	ABILITY_BLAZE,ABILITY_NONE,ABILITY_SOLAR_POWER	Modest,Timid,Calm	216	Derived
SPECIES_MANKEY	Mankey	1	15	physical	atk 80 >= 1.15*spa 35, bestP 60	80	35	70	60	0	8	0	ABILITY_VITAL_SPIRIT,ABILITY_ANGER_POINT,ABILITY_DEFIANT	Adamant,Jolly,Careful	216	Derived
SPECIES_MACHOP	Machop	1	15	physical	atk 80 >= 1.15*spa 35, bestP 60	80	35	35	60	0	7	0	ABILITY_GUTS,ABILITY_NO_GUARD,ABILITY_STEADFAST	Adamant,Jolly,Careful	216	Derived
SPECIES_GEODUDE_ALOLA	Geodude	1	15	physical	atk 80 >= 1.15*spa 30, bestP 65	80	30	20	65	0	7	0	ABILITY_ROCK_HEAD,ABILITY_STURDY,ABILITY_GALVANIZE	Adamant,Jolly,Careful	216	Derived
SPECIES_GASTLY	Gastly	1	15	special	spa 100 >= 1.15*atk 35, bestS 60	35	100	80	30	60	7	1	ABILITY_LEVITATE,ABILITY_NONE,ABILITY_NONE	Modest,Timid,Calm	216	Derived
SPECIES_DRATINI	Dratini	1	15	support	no attacking track (bestP 15, bestS 40, max stat 64)	64	50	50	15	40	5	1	ABILITY_SHED_SKIN,ABILITY_NONE,ABILITY_MARVEL_SCALE	Bold,Calm,Impish	180	Derived
SPECIES_CHIKORITA	Chikorita	1	15	support	no attacking track (bestP 55, bestS 60, max stat 49)	49	49	45	55	60	7	2	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_LEAF_GUARD	Bold,Calm,Impish	216	Derived
SPECIES_TOTODILE	Totodile	1	15	physical	atk 65 >= 1.15*spa 44, bestP 65	65	44	43	65	0	6	0	ABILITY_SHEER_FORCE,ABILITY_NONE,ABILITY_STRONG_JAW	Adamant,Jolly,Careful	216	Derived
SPECIES_MAREEP	Mareep	1	15	special	spa 65 >= 1.15*atk 40, bestS 60	40	65	35	40	60	6	1	ABILITY_STATIC,ABILITY_NONE,ABILITY_PLUS	Modest,Timid,Calm	216	Derived
SPECIES_MAREEP	Mareep	1	15	support	spa 65 >= 1.15*atk 40, bestS 60	40	65	35	40	60	6	1	ABILITY_STATIC,ABILITY_NONE,ABILITY_PLUS	Bold,Calm,Impish	216	Derived
SPECIES_HOPPIP	Hoppip	1	15	support	no attacking track (bestP 40, bestS 40, max stat 35)	35	35	50	40	40	8	1	ABILITY_CHLOROPHYLL,ABILITY_LEAF_GUARD,ABILITY_INFILTRATOR	Bold,Calm,Impish	216	Derived
SPECIES_TREECKO	Treecko	1	15	special	spa 65 >= 1.15*atk 45, bestS 60	45	65	70	60	60	6	0	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_UNBURDEN	Modest,Timid,Calm	216	Derived
SPECIES_TORCHIC	Torchic	1	15	special	spa 70 >= 1.15*atk 60, bestS 60	60	70	45	40	60	6	0	ABILITY_BLAZE,ABILITY_EARLY_BIRD,ABILITY_STRIKER	Modest,Timid,Calm	216	Derived
SPECIES_MUDKIP	Mudkip	1	15	physical	atk 70 >= 1.15*spa 50, bestP 85	70	50	40	85	65	7	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_DAMP	Adamant,Jolly,Careful	216	Derived
SPECIES_BUDEW	Budew	1	15	special	spa 50 >= 1.15*atk 30, bestS 60	30	50	55	0	60	6	0	ABILITY_NATURAL_CURE,ABILITY_POISON_TOUCH,ABILITY_LEAF_GUARD	Modest,Timid,Calm	216	Derived
SPECIES_TRAPINCH	Trapinch	1	15	physical	atk 100 >= 1.15*spa 45, bestP 75	100	45	10	75	40	7	0	ABILITY_HYPER_CUTTER,ABILITY_ARENA_TRAP,ABILITY_SHEER_FORCE	Adamant,Jolly,Careful	216	Derived
SPECIES_BAGON	Bagon	1	15	physical	atk 75 >= 1.15*spa 40, bestP 60	75	40	50	60	60	5	0	ABILITY_ROCK_HEAD,ABILITY_NONE,ABILITY_SHEER_FORCE	Adamant,Jolly,Careful	180	Derived
SPECIES_SHINX	Shinx	1	15	physical	atk 65 >= 1.15*spa 40, bestP 65	65	40	45	65	0	6	0	ABILITY_RIVALRY,ABILITY_INTIMIDATE,ABILITY_GUTS	Adamant,Jolly,Careful	216	Derived
SPECIES_GIBLE	Gible	1	15	physical	atk 70 >= 1.15*spa 40, bestP 90	70	40	42	90	0	4	1	ABILITY_SAND_VEIL,ABILITY_NONE,ABILITY_ROUGH_SKIN	Adamant,Jolly,Careful	144	Derived
SPECIES_GIBLE	Gible	1	15	support	atk 70 >= 1.15*spa 40, bestP 90	70	40	42	90	0	4	1	ABILITY_SAND_VEIL,ABILITY_NONE,ABILITY_ROUGH_SKIN	Bold,Calm,Impish	144	Derived
SPECIES_SNOVER	Snover	1	15	support	no attacking track (bestP 40, bestS 65, max stat 62)	62	62	40	40	65	5	1	ABILITY_SNOW_WARNING,ABILITY_ICE_BODY,ABILITY_SOUNDPROOF	Bold,Calm,Impish	180	Derived
SPECIES_SNIVY	Snivy	1	15	physical	within 15%, both pools >= 60 BP	45	45	63	60	60	6	0	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_CONTRARY	Adamant,Jolly,Careful	216	Derived
SPECIES_SNIVY	Snivy	1	15	special	within 15%, both pools >= 60 BP	45	45	63	60	60	6	0	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_CONTRARY	Modest,Timid,Calm	216	Derived
SPECIES_SNIVY	Snivy	1	15	mixed	within 15%, both pools >= 60 BP	45	45	63	60	60	6	0	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_CONTRARY	Naive,Hasty,Serious	216	Derived
SPECIES_TEPIG	Tepig	1	15	physical	atk 63 >= 1.15*spa 45, bestP 60	63	45	45	60	40	6	0	ABILITY_BLAZE,ABILITY_NONE,ABILITY_THICK_FAT	Adamant,Jolly,Careful	216	Derived
SPECIES_OSHAWOTT	Oshawott	1	15	physical	within 15%, both pools >= 60 BP	55	63	45	60	60	5	0	ABILITY_TORRENT,ABILITY_SHELL_ARMOR,ABILITY_NONE	Adamant,Jolly,Careful	180	Derived
SPECIES_OSHAWOTT	Oshawott	1	15	special	within 15%, both pools >= 60 BP	55	63	45	60	60	5	0	ABILITY_TORRENT,ABILITY_SHELL_ARMOR,ABILITY_NONE	Modest,Timid,Calm	180	Derived
SPECIES_OSHAWOTT	Oshawott	1	15	mixed	within 15%, both pools >= 60 BP	55	63	45	60	60	5	0	ABILITY_TORRENT,ABILITY_SHELL_ARMOR,ABILITY_NONE	Naive,Hasty,Serious	180	Derived
SPECIES_LILLIPUP	Lillipup	1	15	physical	atk 60 >= 1.15*spa 25, bestP 90	60	25	55	90	0	8	1	ABILITY_VITAL_SPIRIT,ABILITY_PICKUP,ABILITY_RUN_AWAY	Adamant,Jolly,Careful	216	Derived
SPECIES_LILLIPUP	Lillipup	1	15	support	atk 60 >= 1.15*spa 25, bestP 90	60	25	55	90	0	8	1	ABILITY_VITAL_SPIRIT,ABILITY_PICKUP,ABILITY_RUN_AWAY	Bold,Calm,Impish	216	Derived
SPECIES_VENIPEDE	Venipede	1	15	physical	atk 45 >= 1.15*spa 30, bestP 60	45	30	57	60	0	7	0	ABILITY_POISON_TOUCH,ABILITY_SWARM,ABILITY_SPEED_BOOST	Adamant,Jolly,Careful	216	Derived
SPECIES_COTTONEE	Cottonee	1	15	special	spa 37 >= 1.15*atk 27, bestS 60	27	37	66	0	60	6	1	ABILITY_PRANKSTER,ABILITY_INFILTRATOR,ABILITY_CHLOROPHYLL	Modest,Timid,Calm	216	Derived
SPECIES_COTTONEE	Cottonee	1	15	support	spa 37 >= 1.15*atk 27, bestS 60	27	37	66	0	60	6	1	ABILITY_PRANKSTER,ABILITY_INFILTRATOR,ABILITY_CHLOROPHYLL	Bold,Calm,Impish	216	Derived
SPECIES_SANDILE	Sandile	1	15	physical	atk 72 >= 1.15*spa 35, bestP 60	72	35	65	60	0	6	0	ABILITY_INTIMIDATE,ABILITY_MOXIE,ABILITY_ANGER_POINT	Adamant,Jolly,Careful	216	Derived
SPECIES_SOLOSIS	Solosis	1	15	special	spa 105 >= 1.15*atk 30, bestS 65	30	105	20	30	65	5	1	ABILITY_OVERCOAT,ABILITY_MAGIC_GUARD,ABILITY_REGENERATOR	Modest,Timid,Calm	180	Derived
SPECIES_CHESPIN	Chespin	1	15	physical	atk 61 >= 1.15*spa 48, bestP 60	61	48	38	60	0	6	1	ABILITY_BULLETPROOF,ABILITY_NONE,ABILITY_IRON_BARBS	Adamant,Jolly,Careful	216	Derived
